chunk_size;chunk_overlap;top_k;iteration;accuracy;context_length
50        ;0            ;1    ;1        ;0.697 ;50 
50        ;0            ;1    ;2        ;0.697 ;50 
50        ;0            ;1    ;3        ;0.697 ;50 
50        ;0            ;1    ;4        ;0.697 ;50 
50        ;20           ;1    ;1        ;0.6107;50 
50        ;20           ;1    ;2        ;0.6107;50 
50        ;20           ;1    ;3        ;0.6107;50 
50        ;20           ;1    ;4        ;0.6107;50 
50        ;40           ;1    ;1        ;0.5345;50 
50        ;40           ;1    ;2        ;0.5345;50 
50        ;40           ;1    ;3        ;0.6486;50 
50        ;40           ;1    ;4        ;0.6486;50 
50        ;50           ;1    ;1        ;0.697 ;50 
50        ;50           ;1    ;2        ;0.697 ;50 
50        ;50           ;1    ;3        ;0.697 ;50 
50        ;50           ;1    ;4        ;0.6397;50 
100       ;0            ;1    ;1        ;0.8355;100
100       ;0            ;1    ;2        ;0.8355;100
100       ;0            ;1    ;3        ;0.881 ;100
100       ;0            ;1    ;4        ;0.8355;100
100       ;20           ;1    ;1        ;0.7756;100
100       ;20           ;1    ;2        ;0.7315;100
100       ;20           ;1    ;3        ;0.7756;100
100       ;20           ;1    ;4        ;0.7859;100
100       ;40           ;1    ;1        ;0.7315;100
100       ;40           ;1    ;2        ;0.7315;100
100       ;40           ;1    ;3        ;0.77  ;100
100       ;40           ;1    ;4        ;0.7638;100
100       ;50           ;1    ;1        ;0.697 ;100
100       ;50           ;1    ;2        ;0.6397;100
100       ;50           ;1    ;3        ;0.697 ;100
100       ;50           ;1    ;4        ;0.697 ;100
200       ;0            ;1    ;1        ;0.8355;200
200       ;0            ;1    ;2        ;0.8355;200
200       ;0            ;1    ;3        ;0.8355;200
200       ;0            ;1    ;4        ;0.8355;200
200       ;20           ;1    ;1        ;0.8355;200
200       ;20           ;1    ;2        ;0.8355;200
200       ;20           ;1    ;3        ;0.8355;200
200       ;20           ;1    ;4        ;0.8355;200
200       ;40           ;1    ;1        ;0.8355;200
200       ;40           ;1    ;2        ;0.8355;200
200       ;40           ;1    ;3        ;0.8355;200
200       ;40           ;1    ;4        ;0.8355;200
200       ;50           ;1    ;1        ;0.8355;200
200       ;50           ;1    ;2        ;0.8355;200
200       ;50           ;1    ;3        ;0.8355;200
200       ;50           ;1    ;4        ;0.8355;200
300       ;0            ;1    ;1        ;0.8355;300
300       ;0            ;1    ;2        ;0.8245;300
300       ;0            ;1    ;3        ;0.8355;300
300       ;0            ;1    ;4        ;0.8355;300
300       ;20           ;1    ;1        ;0.8355;300
300       ;20           ;1    ;2        ;0.8355;300
300       ;20           ;1    ;3        ;0.8355;300
300       ;20           ;1    ;4        ;0.8355;300
300       ;40           ;1    ;1        ;0.8245;300
300       ;40           ;1    ;2        ;0.8245;300
300       ;40           ;1    ;3        ;0.8355;300
300       ;40           ;1    ;4        ;0.8355;300
300       ;50           ;1    ;1        ;0.8355;300
300       ;50           ;1    ;2        ;0.8355;300
300       ;50           ;1    ;3        ;0.8245;300
300       ;50           ;1    ;4        ;0.8355;300
